dataset,data_table_name,field_name,display_name,description,data_type,is_required
Treasury Offset Program,Federal Collections,record_date,Record Date,The date that data was published.,DATE,1
Treasury Offset Program,Federal Collections,creditor_agency_nm,Creditor Agency Name,The name of the federal or state agency that refers delinquent debts to the Treasury Offset Program.   An agency that requests the Fiscal Service's services in collecting its delinquent debt by inclusion in TOP for administrative offset.,STRING,1
Treasury Offset Program,Federal Collections,creditor_agency_id,Agency ID,The ID of the federal or state agency that refers delinquent debts to the Treasury Offset Program.   An agency that requests the Fiscal Service's services in collecting its delinquent debt by inclusion in TOP for administrative offset.,STRING,1
Treasury Offset Program,Federal Collections,agency_type,Agency Site Type Code,"Type of creditor agency, based on whether the agency is a Federal or state entity and based on the type of debt they refer to the Treasury Offset Program.",STRING,1
Treasury Offset Program,Federal Collections,agency_site,Agency Site ID,Identifying alpha/numeric field for the Federal or state agency participating in the Treasury Offset Program.   Assigned by the U.S. Treasury.  ,STRING,1
Treasury Offset Program,Federal Collections,agency_site_nm,Agency Site Name,Identifying alpha/numeric field for the Federal or state agency participating in the Treasury Offset Program.   Assigned by the U.S. Treasury.  ,STRING,1
Treasury Offset Program,Federal Collections,source_agency,Source Agency Alpha,Identifier of the Creditor Agency who received the offset collections.,STRING,1
Treasury Offset Program,Federal Collections,source_agency_1,Source Agency Numeric,Identifier of the Creditor Agency who received the offset collections.,STRING,1
Treasury Offset Program,Federal Collections,source_agency_site,Source Agency Site ID,Identifier of the Creditor Agency who received the offset collections.,STRING,1
Treasury Offset Program,Federal Collections,payment_agency_nm,Agency Name,"The name of the federal agency that certifies payment information in either a check or ACH format and requests payment disbursement by the Fiscal Service.  In TOP processing, a payment agency is a Federal or state agency which provides payment files that are used in the Fiscal Services TOP matching process.",STRING,1
Treasury Offset Program,Federal Collections,payment_agency,Payment Agency ID,"The ID of the federal agency that certifies payment information in either a check or ACH format and requests payment disbursement by the Fiscal Service.  In TOP processing, a payment agency is a Federal or state agency which provides payment files that are used in the Fiscal Services TOP matching process.",STRING,1
Treasury Offset Program,Federal Collections,agency_type_cd,Agency Type Code,"Type of payment agency, based on whether the agency is a Federal or state entity and based on the type of debt referred to the Treasury Offset Program.",STRING,1
Treasury Offset Program,Federal Collections,payment_source_desc,Payment Source Description,Federal or state agency that provides the payment file to the match against the TOP System for delinquent debt collection.  ,STRING,1
Treasury Offset Program,Federal Collections,payment_source_cd,Payment Source Code,Code for the federal or state agency that provides the payment file to the match against the TOP System for delinquent debt collection.  ,STRING,1
